community,GEOID,Longitude,Latitude,HCSRCP_2016-2018,HCSRCP_2015-2017,UNS_2015-2019,CZD_2019,CZD_2018,CZD_2017,CZD_2016,CZM_2019,CZM_2018,CZM_2017,CZM_2016,CZR_2019,CZR_2018,CZR_2017,CZR_2016,CZS_2019,CZS_2018,CZS_2017,CZS_2016,CZV_2019,CZV_2018,CZV_2017,CZV_2016,TRF_2019,TRF_2018,TRF_2017,TRF_2016,PMC_2019,PMC_2018,PMC_2017,PMC_2016,MEODR_2019,MEODR_2018,MEODR_2017,MEODR_2016,CCG_2015-2019,CCR_2015-2019,HCSOBP_2016-2018,HCSOBP_2015-2017,DIS_2015-2019,HCSOHSP_2016-2018,HCSOHSP_2015-2017,HCSNSP_2016-2018,HCSNSP_2015-2017,EDB_2015-2019,EDE_2015-2019,UMP_2015-2019,POV_2015-2019,HCSPAP_2016-2018,HCSPAP_2015-2017,HCSSP_2016-2018,HCSSP_2015-2017,LEQ_2015-2019,POP_2015-2019,VRALR_2015-2019,VRDIDR_2015-2019,VRDO_2015-2019,VRSUR_2015-2019,VRCAR_2015-2019,VRDI_2015-2019,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,PARK_VEGETATED_SQFT,ROOF_VEGETATED_SQFT,Park Count,Roof Count,TOTAL_VEGETATED_SQFT,AVG_PARK_SQFT,AVG_ROOF_SQFT,TOTAL_COM_AREA_SQFT
GARFIELD RIDGE,56.0,-87.764246,41.796185,79.7,79.2,8.10110095503357,71.530075,63.495775,51.889036,52.072036,692.182538,748.671573,684.178709,826.231563,26.857482,32.409199,56.844437,49.400301,11.554997,10.967784,8.981983,14.406833,81.782926,93.771848,118.049693,124.498042,1273.38842434384,1090.39366460056,1124.58774099259,1106.72497661581,10.052845788358,13.2457122542107,11.6710111810261,12.1938762441374,18.1,17.0,9.7,9.7,81.06427862,610.3805867,37.3,41.7,10.480698135066,81.1,83.2,84.9,88.4,82.3757150831533,20.6797441289567,8.87480717843285,8.4699102500327,27.3,27.5,39.8,31.3,9.30377288904885,37113.7674,10.8,21.1,36.0,4.7,177.6,688.0,79.938796939,79.10295587,78.3771,78.5809,78.6,2134440.0,0.0,5.0,0.0,2134440.0,426888.0,9975.220833333333,117925632.00000001
ARCHER HEIGHTS,57.0,-87.726365,41.810873,83.5,95.8,10.2393908105296,16.181229,23.342806,18.085241,32.261703,371.555707,373.125324,390.823223,424.427776,11.135662,27.221042,30.426975,25.317049,7.021593,2.061005,3.050226,6.061339,42.442838,66.520879,68.696106,65.730364,1180.75387893706,1059.26471209386,1065.62549255121,1071.88550297829,10.01775142851,13.2601597142158,11.6923673062444,12.1731566743277,9.3,6.0,0.0,0.0,21.50215182,421.4146031,55.4,59.5,5.69581291281404,71.5,62.6,67.2,63.5,68.8237413877471,14.5115275538423,7.67738529783401,14.12795578984,44.5,38.3,19.9,22.240000000000002,17.6308681257903,13816.249237,12.3,7.7,5.0,9.5,131.0,146.0,78.878765707,82.43765916,81.7844,79.3705,80.3,1009720.8000000002,15033.0,4.0,1.0,1024753.8000000002,252430.20000000004,15033.0,56035583.99999999
BRIGHTON PARK,58.0,-87.698859,41.817364,75.1,73.1,17.8750211545934,87.40841,81.412232,98.378556,158.029058,790.325932,850.093892,863.260935,1062.862338,63.304348,93.022982,133.383765,149.016581,18.96265,16.031044,9.089753,15.094706,213.484361,236.331095,303.760657,358.401258,1074.16155463766,808.356897440632,824.12439442211,847.085335576471,9.97552739356548,13.2607116049141,11.6978500459492,12.1506840301494,12.7,14.5,3.6,3.6,47.69198672,414.4960653,32.9,36.4,7.0679558242468,81.6,81.5,59.5,61.0,66.1704078961687,10.7497907917835,7.91818712046482,23.7231680345542,35.8,39.4,36.5,41.5,24.1036644702331,44347.377613,11.5,12.0,26.0,7.4,170.0,329.0,79.717756182,79.34661231,79.5437,79.4277,79.9,349351.2,31485.0,2.0,2.0,380836.2,174675.6,15742.5,75829248.0
MCKINLEY PARK,59.0,-87.6725,41.829927,78.2,79.4,12.5176731208878,16.077153,23.090345,61.956439,57.01093,372.339188,424.367808,447.236533,473.315633,22.055387,23.174203,40.145168,29.118949,4.041847,4.018469,6.028358,2.032046,61.24126,65.348056,87.270444,90.307336,1470.38250435576,1124.15904066982,1122.27260554195,1101.37170463109,9.92993438344441,13.236937915785,11.6991081688854,12.1268629565704,21.7,6.7,19.8,19.8,52.26872584,518.817168,20.1,23.5,9.85199332710412,88.5,87.2,79.3,78.5,73.1613220703841,21.6592837277042,7.54214437338677,19.2263800977928,24.0,36.4,25.9,33.7,20.9935112115766,15188.12425,7.5,17.6,14.0,4.8,158.8,158.0,80.425544893,81.91081105,81.1919,80.356,81.6,3274840.8000000003,62625.0,5.0,1.0,3337465.8000000003,654968.16,62625.0,39308544.0
LAKE VIEW,6.0,-87.656001,41.944236,75.6,74.9,3.93320174583568,43.028483,35.510247,37.446092,73.310519,2974.717695,2983.950478,2873.818719,2943.893326,149.635263,182.102125,221.704766,254.239318,60.278106,56.797165,47.494639,40.038514,352.292592,359.300477,365.733791,404.63074,1687.64555832934,1280.10159196137,1276.98714696139,1292.0252081028,9.63266088836413,12.8399224165843,11.370509103887,11.8168327876558,10.7,10.8,22.6,22.6,72.1574385,716.2392913,17.8,16.8,5.45848116478214,90.5,88.9,94.4,91.5,97.3519640445368,81.3204166145823,2.80145828767608,7.92000613643862,14.1,14.2,11.5,17.3,1.52493021952401,90172.378144,7.0,13.9,62.0,12.6,143.8,678.0,82.453542077,82.2431649,81.9584,81.6764,81.2,383328.0,109978.0,16.0,6.0,493306.0,23958.0,18329.666666666668,86980608.0
BRIDGEPORT,60.0,-87.648784,41.836151,74.5,85.3,8.80813010191618,42.134856,30.052748,34.167227,48.046331,568.793989,614.747658,697.370708,712.904287,17.239873,33.219034,54.41464,70.426069,11.020443,8.984942,6.002152,2.04164,115.297116,129.633674,127.762112,147.684232,2703.09028816108,2581.05598052901,2541.18002037375,2633.48093963464,9.88869468636544,13.2222574985462,11.702673871832,12.0960116734615,8.5,9.0,15.6,15.6,78.45375371,514.4325738,21.3,33.7,8.56844919320304,75.9,67.9,81.7,80.5,81.3763658942073,34.6243767317259,6.83905948336054,14.6796024122489,23.4,13.0,24.7,24.2,15.8682336865525,34483.901503,6.7,15.5,27.0,10.4,164.9,396.0,80.3469067,79.56921575,79.0052,79.8913,80.6,1915768.8,28151.0,10.0,3.0,1943919.8,191576.88,9383.666666666666,58265855.99999999
NEW CITY,61.0,-87.659171,41.809017,71.0,66.8,14.5390449161101,254.04632,180.391883,222.010447,288.000182,1448.45848,1648.450311,1782.99956,1916.206142,112.212477,150.066835,199.266645,245.856321,30.019259,34.959382,28.963844,35.942056,431.123995,541.755992,600.352642,711.103061,344.052457972975,129.656088905906,133.86868946258,131.3118892972,9.9100905895696,13.2618108946415,11.6994794515191,12.1028106782242,32.8,32.1,30.6,30.6,78.44380261,555.8004411,38.9,30.9,11.0091168055156,67.6,67.9,53.5,55.8,73.6584941805889,12.6618284015216,14.3505283747411,24.8253252340754,32.0,26.4,42.3,44.4,12.0647108173528,39458.488229,14.6,36.6,70.0,6.7,202.9,458.0,73.705978569,74.06552613,73.6413,75.3685,76.8,3961782.0,83179.0,11.0,4.0,4044961.0,360162.0,20794.75,134652672.0
WEST ELSDON,62.0,-87.724213,41.792977,70.9,52.5,10.4497238406225,35.682919,23.823859,17.891296,17.917188,346.5081,451.606789,445.674241,505.27162,25.81922,25.814127,56.542019,57.526841,5.965155,5.954481,6.948432,1.997063,69.511631,72.445977,92.293888,89.374743,938.242794143124,884.820711114698,899.97491161367,892.02222136758,10.0191676550113,13.2780745561808,11.6951548462128,12.175032879909,17.0,11.3,0.0,0.0,41.17097591,440.2324851,41.6,39.1,7.61449106411878,82.9,94.9,85.3,82.3,71.123436315317,13.6509312492918,11.0525071194495,9.03198849307698,25.4,24.2,29.0,33.7,16.1813184770424,18992.537247,7.1,14.2,12.0,15.2,156.7,177.0,83.077872208,82.60048111,81.3973,79.9381,80.1,952657.2,0.0,3.0,0.0,952657.2,317552.39999999997,14341.646153846154,32617727.999999996
GAGE PARK,63.0,-87.696433,41.795429,72.9,74.2,15.0393315983496,73.290407,87.043676,75.078473,101.526962,802.186347,769.546939,976.209364,977.803231,92.32716,78.226829,148.149822,106.008885,15.797223,16.652565,14.899542,17.913274,221.932402,195.108948,292.407301,299.175379,416.460056689098,378.12854061671,381.460921389715,391.806527153275,9.9751784893011,13.2808275111334,11.6970541939695,12.1428184519861,20.5,17.0,10.3,10.3,32.9735609,406.5419977,36.3,22.8,7.11831060405974,70.9,68.2,58.4,59.8,68.6366664455233,7.04419381890821,12.9880586449943,18.1911484944911,33.8,40.3,24.4,33.5,17.928735486368,37204.527625,11.5,14.7,24.0,3.9,157.8,245.0,79.472036191,78.85277221,81.079,81.0732,78.8,855082.7999999999,57010.0,2.0,2.0,912092.8,427541.39999999997,28505.0,61332480.00000001
CLEARING,64.0,-87.768517,41.779582,73.6,73.5,9.01816987351883,27.071175,21.964719,31.968138,26.658584,363.155697,461.408394,412.912186,456.132375,13.051254,17.502692,19.010336,27.477812,8.459486,2.012063,5.009819,4.456404,64.928572,55.914246,55.448394,56.977044,502.670031758288,408.81421393685,409.857866966932,407.146546984688,10.0554753167337,13.257950032071,11.6720412753885,12.1905920529255,22.8,31.3,23.4,23.4,90.94776042,591.3584502,31.2,34.9,9.626517732046,78.0,79.2,75.0,78.4,85.1494176408173,18.6043413077877,8.74614113591666,8.76630636604595,28.3,35.6,38.8,35.3,6.81126695442171,25018.229401,12.1,29.0,33.0,9.9,207.0,407.0,77.997419059,76.32861529,76.4491,77.3562,77.4,2174950.8000000003,3364.0,6.0,1.0,2178314.8000000003,362491.80000000005,3364.0,71089920.0
WEST LAWN,65.0,-87.726927,41.769774,87.9,86.5,10.5784546534716,26.944099,35.918827,51.828092,40.904038,704.377476,827.809542,854.052636,1014.574923,48.863784,47.921921,86.772062,100.706746,10.980297,9.963609,9.003711,8.970832,113.724661,114.776338,160.666222,191.445551,510.550472087936,424.348154069033,418.919170898156,417.997848842989,10.0092268143989,13.2982686776513,11.683306136795,12.1674692200328,16.0,6.6,27.7,27.7,55.63091558,500.0735234,28.9,29.7,9.35099288006512,74.2,68.5,72.2,68.6,74.090526496617,12.6132459668976,10.874660911621,12.6670774835603,34.1,24.9,34.4,23.9,15.1940875587547,31799.903511,7.1,19.9,31.0,10.6,177.7,342.0,78.905521378,79.30583724,79.5391,79.7793,79.5,958320.0,12063.0,2.0,1.0,970383.0,479160.0,12063.0,82241280.0
CHICAGO LAWN,66.0,-87.695667,41.771849,78.7,85.6,13.9482326942031,259.303741,232.537699,222.054108,239.198296,2072.885695,2268.698872,2278.607337,2354.857735,229.132066,277.337279,287.079499,289.252527,45.807133,30.935773,40.95413,31.939906,643.174631,689.452274,692.447454,686.210474,373.875870726235,226.4554766073,221.896878439247,227.433121865434,9.96244709392423,13.2966743053395,11.685577381701,12.1273341628092,21.7,31.4,33.0,33.0,63.98479242,544.0935506,40.5,41.6,10.9589443831553,74.1,78.6,62.2,62.0,76.9887795901847,7.9953227828887,20.8814488843163,24.2472780776969,36.7,39.6,38.7,43.1,8.66312379129501,51182.393421,9.6,30.9,76.0,8.0,203.3,625.0,73.525381072,74.36022627,75.3702,75.2786,74.2,15356206.8,25016.0,4.0,4.0,15381222.8,3839051.7,6254.0,98410752.0
WEST ENGLEWOOD,67.0,-87.666598,41.775926,87.4,89.7,8.11502385824884,418.495245,454.105595,500.737482,515.613232,2236.83968,2450.638738,2372.33339,2656.471828,215.528427,263.54259,297.338475,354.828406,40.160687,35.204886,45.015603,42.915632,860.783164,876.387636,910.17924,1007.60563,233.700779443566,95.6339174857172,94.8379096889251,93.9093217484114,9.92028525903648,13.286862182395,11.6926739639766,12.0936991270229,52.7,38.3,24.6,24.6,94.73514857,630.8456404,51.0,50.7,16.5316766509093,74.5,77.0,52.0,52.8,77.8933684266553,8.94762733304412,27.0193531577251,33.2776061821018,35.5,31.3,36.3,35.6,2.20967345834436,26567.535681,10.3,41.6,72.0,5.3,243.9,766.0,71.849620019,71.92237118,69.9263,68.9264,70.8,3742675.2,21226.0,7.0,2.0,3763901.2,534667.8857142858,10613.0,87816960.0
ENGLEWOOD,68.0,-87.642502,41.777201,90.7,93.0,12.3006415466738,416.355904,405.44528,313.43699,488.117403,2069.868082,2144.864963,2099.091888,2271.452768,236.451549,221.54416,271.557136,317.325274,49.893673,36.915677,32.947801,31.938879,787.196618,796.419169,810.327804,933.739894,2743.59203845337,2361.05395129729,2324.27162816518,2361.31643608837,9.88517478577861,13.2823918598143,11.6878028257371,12.05996881973,56.5,45.9,34.9,34.9,131.580708,718.4578802,34.3,40.7,23.0873273824812,73.5,74.5,55.3,50.5,76.4449437636495,8.89293521066659,24.4724802904274,40.1025625630883,28.1,26.0,39.1,36.0,0.710651585575007,22874.516993,8.3,47.4,66.0,5.0,210.3,596.0,71.069051292,71.23354566,70.8088,71.4822,71.1,2238112.8000000003,95725.0,12.0,4.0,2333837.8000000003,186509.40000000002,23931.25,85586688.0
GREATER GRAND CROSSING,69.0,-87.616139,41.763251,77.2,76.1,7.06459685811191,335.496304,303.137867,209.112722,250.976753,2370.875715,2252.648635,2495.728988,2529.963536,232.419068,245.472864,395.359882,395.51536,57.052035,42.063055,48.99231,44.050986,856.230136,821.266349,974.298613,937.16116,2149.10991276944,2018.62477501261,2075.59001626193,2079.92126736367,9.82968000699372,13.2881586090705,11.6761601697906,12.0084994515517,54.8,22.1,45.6,45.6,118.9904694,699.2962345,47.1,40.6,17.1849141677869,74.3,79.1,57.5,56.8,85.6394638980209,16.5471106946202,21.9003885477824,35.8672672676466,30.5,25.9,27.6,27.5,0.479639362192781,30215.363374,7.4,43.9,68.0,5.7,219.0,744.0,71.650329125,70.63710403,69.1845,70.6731,72.1,1499335.2,26698.0,8.0,3.0,1526033.2,187416.9,8899.333333333334,98968320.0
LINCOLN PARK,7.0,-87.649491,41.922696,69.2,64.9,2.51517754160411,31.830961,23.132414,27.521432,28.265642,2429.689445,2965.757678,2626.495937,2370.295365,113.554364,159.929466,140.721139,133.093862,19.50284,19.263417,21.82908,27.305316,207.095191,253.18387,220.173774,212.893479,476.778535152722,251.166533629859,256.031298720425,258.304737968918,9.68866723853365,12.9331492751714,11.4570977550168,11.8887897654558,8.7,7.5,6.5,6.5,81.81865855,734.8865007,19.1,15.8,5.21644935728061,89.5,89.2,86.3,89.2,97.576976238637,83.7734403666824,2.73608968432817,9.14617440954786,11.6,11.9,15.5,16.6,1.29992579992364,62535.374094,11.3,9.5,29.0,3.9,156.7,521.0,80.689056873,81.5282629,81.3034,81.2813,81.4,54099342.00000001,77533.0,20.0,13.0,54176875.00000001,2704967.1000000006,5964.076923076923,88095744.0
ASHBURN,70.0,-87.708363,41.745756,82.1,89.0,9.4141881339683,34.467323,39.500391,29.612407,44.800878,880.635538,939.740879,1048.538715,1300.848315,69.431031,98.532926,109.652268,120.74155,11.120688,11.130466,12.060227,13.139987,183.51766,223.595788,231.694863,272.805691,832.220110452066,437.189462149052,439.228203167066,442.220148425122,9.95332916906294,13.2981638567044,11.6623615254424,12.1057116922962,7.8,2.0,16.9,16.9,89.408462,633.8494071,31.6,36.4,7.90694777766426,84.1,80.5,87.2,83.1,83.1474254038479,20.9084433519265,11.1055381719346,13.1117095573926,36.7,34.5,30.4,25.6,5.52894045004475,43537.909724,7.4,10.3,22.0,6.2,221.4,620.0,76.144405963,77.0811225,76.0591,76.1606,76.7,3250011.6,147656.0,7.0,2.0,3397667.6,464287.37142857147,73828.0,135489024.0
AUBURN GRESHAM,71.0,-87.656305,41.744203,83.0,86.2,8.11335052580629,408.989048,399.780775,346.947815,309.302394,2704.57885,2795.547582,2979.489751,3078.662525,263.639085,302.644023,357.605894,382.063544,53.16494,52.130601,41.098581,50.131046,824.346557,900.352061,982.530385,983.281846,507.354863212907,297.223068903256,301.29866636508,292.185543574292,9.88543516773898,13.300447079614,11.6749787721717,12.0481756313202,32.1,32.9,32.6,32.6,101.7972489,684.9347936,41.2,42.3,16.3758675112821,78.4,82.9,57.9,53.7,84.3329608998053,15.513577974139,15.9345531110451,25.1686331311471,24.4,32.6,35.0,42.5,0.196189477903269,45992.397076,6.7,32.9,89.0,7.2,217.5,1194.0,71.051660202,71.53084266,72.2612,72.2199,72.8,2731212.0,3518.0,10.0,1.0,2734730.0,273121.2,3518.0,105101568.0
BEVERLY,72.0,-87.675072,41.713148,68.8,80.6,3.47187051954478,13.308664,10.21072,8.080871,13.296721,392.467118,401.071015,420.707263,437.031089,15.237312,10.338436,25.294739,21.311694,1.100143,6.080341,3.016967,1.047298,41.718383,43.732835,49.772645,45.009345,577.623433620621,492.810574932517,502.696849390989,500.215207720701,9.87192352569818,13.2837316209116,11.6430174165802,12.017014449504,0.0,14.9,2.8,2.8,56.76893391,618.3610736,27.2,32.6,8.90696259102607,94.0,93.6,89.7,91.8,96.5626146700031,55.9905832887615,4.41861769789555,4.69124343795363,16.5,20.6,15.5,16.3,0.667059572292075,19826.532537,4.7,12.1,13.0,12.3,178.4,290.0,79.487946663,79.33840492,79.5787,78.0742,77.9,1761130.8,4718.0,8.0,1.0,1765848.8,220141.35,4718.0,88653312.0
WASHINGTON HEIGHTS,73.0,-87.648897,41.717495,86.6,88.4,6.46989929970026,139.437717,73.638538,68.681313,128.349249,1198.592992,1243.288834,1304.854614,1270.64995,83.552353,93.439519,141.374317,158.207015,17.868154,16.901277,19.916998,8.952716,319.444499,286.58292,367.29695,359.218143,1881.81326142974,1437.72722817004,1451.82061132711,1365.19446608428,9.8476677714475,13.2917236115761,11.6560790594281,12.0021583642636,33.6,15.1,31.7,31.7,104.8183042,691.7048832,39.9,31.8,17.5318777313108,86.9,85.2,66.0,68.3,88.4304269602674,24.3688905392535,15.6781807659443,21.0760000505118,33.9,30.9,38.1,41.4,0.110666402116812,26635.007753,7.5,30.2,44.0,3.3,201.6,701.0,72.781468547,73.13897428,72.7433,74.3132,73.8,2345270.4,0.0,6.0,0.0,2345270.4,390878.39999999997,14967.9,79732224.0
MOUNT GREENWOOD,74.0,-87.713189,41.694876,81.8,91.0,2.71484846733685,11.985856,3.996341,3.996906,9.988219,146.823753,183.811567,199.779581,204.78011,1.99809,6.994243,6.991319,8.990411,3.993578,2.996529,0.0,1.99809,14.980026,17.983145,15.982052,21.97713,185.51855666978,17.5600464044728,17.680129032649,17.484097729483,9.87065675349959,13.2467470906407,11.6011893584298,11.998602863941,5.6,11.2,14.9,14.9,110.5242599,675.7710689,23.6,17.1,8.84594148631972,91.3,92.4,96.3,98.1,96.2990039849853,40.2411739234143,4.10041728430124,4.64121749531659,23.6,18.0,28.3,23.6,0.404162823591346,19196.883036,6.2,14.2,14.0,16.1,194.4,307.0,78.246616854,77.16068812,77.0195,78.1464,78.7,2970356.4,2352.0,3.0,2.0,2972708.4,990118.7999999999,1176.0,75550464.0
MORGAN PARK,75.0,-87.669062,41.689729,75.3,75.5,5.7368342311534,63.901476,44.924303,31.968436,60.925202,656.009519,773.763976,791.737912,710.927342,34.954536,20.978998,52.947198,48.945867,6.993093,18.974811,6.99278,5.993469,136.84346,121.844359,152.813089,141.831084,996.109688469252,768.797587286071,749.185941150517,721.120725464978,9.83367372849949,13.2715658045269,11.6235753380209,11.9699085083665,15.8,6.9,11.7,11.7,96.66475108,657.831486,46.5,40.5,15.2509781464097,85.9,83.4,83.6,76.3,92.3104394392591,37.2799159353357,11.2958145264528,11.8900495631657,20.9,34.0,34.1,32.2,0.676479486578582,21594.815938,7.6,13.4,16.0,7.0,198.4,548.0,75.012953862,75.65541437,75.7315,75.1967,74.8,7486657.200000001,123125.0,9.0,3.0,7609782.200000001,831850.8000000002,41041.666666666664,91998720.0
OHARE,76.0,-87.893699,41.975696,76.8,72.5,14.1949783720784,99.117738,57.217838,117.021597,160.028127,561.243453,588.000932,514.452571,594.100662,5.854089,3.92996,4.935184,7.917796,3.991585,3.982517,1.87058,6.792842,22.283371,18.536551,20.099386,32.114155,1385.59423802664,1158.99412709406,1148.65618323944,1168.53424449948,9.88488452321751,12.7635118521781,11.1968514812249,11.905661623049,32.9,5.9,8.5,8.5,50.89246899,424.8994969,13.2,25.4,10.9506419041292,96.5,83.0,88.8,76.9,81.9478661203167,28.556875789771,4.41111302875745,13.2854038628253,22.0,31.0,36.6,23.6,13.540166905054,15655.21018,9.4,17.9,11.0,8.7,180.8,175.0,81.439524423,80.92485666,81.6962,81.8094,81.8,77972.40000000001,265939.0,1.0,10.0,343911.4,77972.40000000001,26593.9,371897856.0
EDGEWATER,77.0,-87.663419,41.986719,76.4,75.0,7.11648731014273,19.559024,15.21243,29.102139,41.605744,994.741181,1084.559449,1092.795654,973.561023,55.825853,71.122291,74.470326,79.144302,19.143054,19.813942,14.493553,26.454735,137.356586,156.674636,150.744235,158.395951,1452.66472618328,971.054758633239,979.808146812097,976.951148694857,9.50213608949004,12.6505512890317,11.1712175937849,11.6387389536596,16.3,13.0,16.5,16.5,67.12866786,626.1092051,20.8,24.7,12.0371638810209,87.0,89.8,92.4,92.0,91.2133257251606,59.6112306393862,4.93377304280793,13.1524016255391,16.8,19.1,16.5,16.2,5.69053212826537,48691.025555,8.0,19.9,64.0,11.1,158.7,751.0,81.415380696,80.08425791,80.0619,80.3025,80.7,696524.4,23632.0,11.0,7.0,720156.4,63320.4,3376.0,48508416.0
NEAR NORTH SIDE,8.0,-87.633318,41.899611,78.3,77.5,2.24588979219029,146.216478,122.134115,134.014461,119.69585,6113.787648,6507.295004,6357.485812,5314.379329,385.041043,359.883654,382.713189,273.237282,81.212928,81.467807,95.159797,81.118309,738.724095,712.687497,699.547985,561.665207,3475.89251630357,2820.48384411194,2841.95201868247,2840.46229510412,9.73143070916311,13.0181090212661,11.5496739632875,11.9484784170846,9.0,9.1,7.3,7.3,70.5783594,725.486948,17.8,13.8,8.03300246259623,89.8,91.8,85.8,89.1,97.2333238224944,78.3168552490729,2.64779676004801,9.42543598801634,18.8,14.5,15.8,12.5,1.34094251954886,84576.024332,5.5,13.6,55.0,11.9,143.7,812.0,82.124658502,82.60521288,82.3812,83.2688,83.7,1856962.8,688719.0,16.0,64.0,2545681.8,116060.175,10761.234375,76386816.0
EDISON PARK,9.0,-87.81378,42.007627,85.5,76.5,2.33999577367566,0.0,0.00124,1.995273,1.001189,74.875236,74.895991,85.870046,101.869293,0.99891,0.995448,1.994358,4.991259,1.998192,0.000124,2.993811,0.99891,7.992644,8.988186,12.976577,11.984963,719.35409857031,627.628715112416,642.171464446388,634.115421195003,9.7344006982157,12.6717300985539,11.1022841557978,11.7634868206848,19.3,0.0,0.0,0.0,64.43771726,673.5005629,18.8,19.7,7.40245307459664,93.2,95.9,100.0,100.0,95.6365222445906,49.0359466512085,1.55868708502181,3.5051456636979,27.3,26.6,28.3,21.5,0.705608285320351,11254.802798,9.4,11.1,5.0,9.8,117.1,177.0,82.637138602,82.66337722,83.0617,83.4075,81.6,900385.2000000001,0.0,4.0,0.0,900385.2000000001,225096.30000000002,15287.646153846154,31502591.999999996
